CRD,PNU,nb_pret,Maturite,Garantie_max,flag_lombard_decouvert,DPD 12M,Pays de domiciliation,Etat civil,Nationalité,Segmentation commercilale,Type de revenu,Catégorie sociale,Code localité,Segment,date OBSERVATION,Age_relation,Date_naissance,Solde_moyen,Revenus_mensuels,Solde_arrete,Engagement,CRD/gar,CRD/eng,flag_defaut,Age
3877.51,54792.5,1,-58,109585.0,1,0,France,Marié,Morocco,Indéterminé (S0),Inconnu,"Cadres administratifs supérieurs sans responsabilité hiérarchique et cadres commerciaux, financiers et de gestion (17)",CASABLANCA  (780),Retail GOLD (08),2018-12-31,154,1963-01-14,74370.49274435197,36032.51478197538,-3877.51,54792.5,0.0353835835196423,0.0707671670392846,0,55.96167008898015
8087.98,45936.25,1,-59,0.0,1,0,France,Marié,Morocco,Indéterminé (S0),Inconnu,"Cadres administratifs supérieurs sans responsabilité hiérarchique et cadres commerciaux, financiers et de gestion (17)",CASABLANCA  (780),Retail GOLD (08),2019-12-31,166,1963-01-14,74370.49274435197,36032.51478197538,-8115.41,45936.25,1.0,0.176069661759504,0,56.96098562628337
11702.36,45000.0,1,-60,0.0,1,0,France,Marié,Morocco,Indéterminé (S0),Inconnu,"Cadres administratifs supérieurs sans responsabilité hiérarchique et cadres commerciaux, financiers et de gestion (17)",CASABLANCA  (780),Retail GOLD (08),2020-12-31,178,1963-01-15,74370.49274435197,36032.51478197538,-8115.41,45000.0,1.0,0.260052444444444,0,57.960301163586585
328.53,53085.75,1,-61,0.0,1,0,France,Marié,Morocco,Indéterminé (S0),Inconnu,"Cadres administratifs supérieurs sans responsabilité hiérarchique et cadres commerciaux, financiers et de gestion (17)",CASABLANCA  (780),Retail GOLD (08),2021-12-31,190,1963-01-15,74370.49274435197,36032.51478197538,-328.53,53085.75,1.0,0.00618866645003603,0,58.959616700889804
1277030.69,0.0,1,18,2475000.0,0,0,Morocco,Marié,Morocco,Indéterminé (S0),Inconnu,"Cadres administratifs supérieurs sans responsabilité hiérarchique et cadres commerciaux, financiers et de gestion (17)",CASABLANCA  (780),"Private customer, universal (01)",2018-12-31,154,1978-01-10,74370.49274435197,36032.51478197538,78611.768604,2650000.0,0.515971995959596,0.481898373584906,0,40.9719370294319
1277030.69,0.0,1,18,2475000.0,0,0,Morocco,Marié,Morocco,Indéterminé (S0),Inconnu,"Cadres administratifs supérieurs sans responsabilité hiérarchique et cadres commerciaux, financiers et de gestion (17)",CASABLANCA  (780),"Private customer, universal (01)",2018-12-31,154,1978-01-10,74370.49274435197,36032.51478197538,78611.768604,2650000.0,0.515971995959596,0.481898373584906,0,40.9719370294319
1226293.5,0.0,1,17,2650000.0,0,0,Morocco,Marié,Morocco,Indéterminé (S0),Inconnu,"Cadres administratifs supérieurs sans responsabilité hiérarchique et cadres commerciaux, financiers et de gestion (17)",CASABLANCA  (780),"Private customer, universal (01)",2019-12-31,166,1978-01-10,74370.49274435197,36032.51478197538,14356.072616,2650000.0,0.462752264150943,0.462752264150943,0,41.97125256673511
1226293.5,0.0,1,17,2650000.0,0,0,Morocco,Marié,Morocco,Indéterminé (S0),Inconnu,"Cadres administratifs supérieurs sans responsabilité hiérarchique et cadres commerciaux, financiers et de gestion (17)",CASABLANCA  (780),"Private customer, universal (01)",2019-12-31,166,1978-01-10,74370.49274435197,36032.51478197538,14356.072616,2650000.0,0.462752264150943,0.462752264150943,0,41.97125256673511
1172463.8,0.0,1,16,2650000.0,0,0,Morocco,Marié,Morocco,Indéterminé (S0),Inconnu,"Cadres administratifs supérieurs sans responsabilité hiérarchique et cadres commerciaux, financiers et de gestion (17)",CASABLANCA  (780),"Private customer, universal (01)",2020-12-31,178,1978-01-11,74370.49274435197,36032.51478197538,14355.889016,2650000.0,0.442439169811321,0.442439169811321,0,42.97056810403833
1172463.8,0.0,1,16,2650000.0,0,0,Morocco,Marié,Morocco,Indéterminé (S0),Inconnu,"Cadres administratifs supérieurs sans responsabilité hiérarchique et cadres commerciaux, financiers et de gestion (17)",CASABLANCA  (780),"Private customer, universal (01)",2020-12-31,178,1978-01-11,74370.49274435197,36032.51478197538,14355.889016,2650000.0,0.442439169811321,0.442439169811321,0,42.97056810403833
1113645.81,0.0,1,15,2650000.0,0,0,Morocco,Marié,Morocco,Indéterminé (S0),Inconnu,"Cadres administratifs supérieurs sans responsabilité hiérarchique et cadres commerciaux, financiers et de gestion (17)",CASABLANCA  (780),"Private customer, universal (01)",2021-12-31,190,1978-01-11,74370.49274435197,36032.51478197538,128887.29,1113645.81,0.420243701886792,1.0,0,43.969883641341546
1113645.81,0.0,1,15,2650000.0,0,0,Morocco,Marié,Morocco,Indéterminé (S0),Inconnu,"Cadres administratifs supérieurs sans responsabilité hiérarchique et cadres commerciaux, financiers et de gestion (17)",CASABLANCA  (780),"Private customer, universal (01)",2021-12-31,190,1978-01-11,74370.49274435197,36032.51478197538,128887.29,1113645.81,0.420243701886792,1.0,0,43.969883641341546
0.0,237317.56,1,-58,472862.18,1,0,Morocco,Marié,Morocco,Professionnels flux immédiats - AB (41-60) (S10),Inconnu,Cadres spécialises dans les professions scientifiques et techniques (11),RABAT  (810),"Private customer, universal (01)",2018-12-31,153,1976-01-11,74370.49274435197,36032.51478197538,590.98,236726.58,0.0,0.0,0,42.97056810403833
0.0,237317.56,1,-58,472862.18,1,0,Morocco,Marié,Morocco,Professionnels flux immédiats - AB (41-60) (S10),Inconnu,Cadres spécialises dans les professions scientifiques et techniques (11),RABAT  (810),"Private customer, universal (01)",2018-12-31,153,1976-01-11,74370.49274435197,36032.51478197538,590.98,236726.58,0.0,0.0,0,42.97056810403833
0.0,169879.86,1,-59,0.0,1,0,Morocco,Marié,Morocco,Professionnels flux immédiats - AB (41-60) (S10),Inconnu,Cadres spécialises dans les professions scientifiques et techniques (11),RABAT  (810),"Private customer, universal (01)",2019-12-31,165,1976-01-11,74370.49274435197,36032.51478197538,22168.573754,147962.62,1.0,0.0,0,43.969883641341546
0.0,169879.86,1,-59,0.0,1,0,Morocco,Marié,Morocco,Professionnels flux immédiats - AB (41-60) (S10),Inconnu,Cadres spécialises dans les professions scientifiques et techniques (11),RABAT  (810),"Private customer, universal (01)",2019-12-31,165,1976-01-11,74370.49274435197,36032.51478197538,22168.573754,147962.62,1.0,0.0,0,43.969883641341546
0.0,166491.165,1,-60,0.0,1,0,Morocco,Marié,Morocco,Professionnels flux immédiats - AB (41-60) (S10),Inconnu,Cadres spécialises dans les professions scientifiques et techniques (11),RABAT  (810),"Private customer, universal (01)",2020-12-31,177,1976-01-12,74370.49274435197,36032.51478197538,22167.267854,131112.055,1.0,0.0,0,44.969199178644764
0.0,274397.11,1,-61,0.0,1,0,Morocco,Marié,Morocco,Professionnels flux immédiats - AB (41-60) (S10),Inconnu,Cadres spécialises dans les professions scientifiques et techniques (11),RABAT  (810),"Private customer, universal (01)",2021-12-31,189,1976-01-12,74370.49274435197,36032.51478197538,26111.694344,248598.17,1.0,0.0,0,45.96851471594798
